년월,구명,매매거래수,전월세거래수,갭투자비율(%)
201101,강남구,551,1603,4.9
201101,강동구,453,956,4.19
201101,강북구,123,207,3.25
201101,강서구,407,695,0.98
201101,관악구,243,433,0.82
201101,광진구,156,373,1.28
201101,구로구,359,543,2.23
201101,금천구,98,127,1.02
201101,노원구,674,1170,1.93
201101,도봉구,336,444,2.38
201101,동대문구,228,429,1.75
201101,동작구,258,550,2.71
201101,마포구,270,538,1.48
201101,서대문구,169,331,2.96
201101,서초구,427,1127,1.41
201101,성동구,282,472,3.9
201101,성북구,430,572,1.4
201101,송파구,471,1665,4.67
201101,양천구,320,781,2.81
201101,영등포구,297,522,3.37
201101,용산구,89,297,2.25
201101,은평구,221,378,0.9
201101,종로구,51,123,0.0
201101,중구,59,142,5.08
201101,중랑구,181,271,1.1
201102,강남구,406,1555,5.42
201102,강동구,355,1039,4.79
201102,강북구,117,183,0.85
201102,강서구,279,765,2.15
201102,관악구,246,460,3.66
201102,광진구,118,315,0.0
201102,구로구,340,547,1.76
201102,금천구,102,166,2.94
201102,노원구,578,1210,3.29
201102,도봉구,271,518,3.32
201102,동대문구,205,431,2.93
201102,동작구,217,576,3.69
201102,마포구,197,545,2.54
201102,서대문구,182,330,3.85
201102,서초구,310,1053,4.19
201102,성동구,178,517,1.69
201102,성북구,368,544,2.99
201102,송파구,349,1431,6.3
201102,양천구,259,829,3.47
201102,영등포구,257,558,3.89
201102,용산구,104,284,1.92
201102,은평구,244,441,2.87
201102,종로구,47,100,0.0
201102,중구,55,140,7.27
201102,중랑구,214,327,1.4
201103,강남구,314,1509,5.73
201103,강동구,308,979,3.25
201103,강북구,112,200,0.0
201103,강서구,315,780,1.9
201103,관악구,201,433,3.48
201103,광진구,110,335,3.64
201103,구로구,295,639,0.34
201103,금천구,114,167,4.39
201103,노원구,443,1167,2.71
201103,도봉구,279,519,2.87
201103,동대문구,202,410,0.99
201103,동작구,188,546,2.66
201103,마포구,184,557,2.72
201103,서대문구,134,351,0.75
201103,서초구,266,918,3.38
201103,성동구,172,543,1.16
201103,성북구,359,547,1.67
201103,송파구,264,1338,6.44
201103,양천구,255,1089,1.57
201103,영등포구,246,573,0.81
201103,용산구,86,334,2.33
201103,은평구,212,322,0.94
201103,종로구,67,82,0.0
201103,중구,57,139,3.51
201103,중랑구,203,314,0.49
201104,강남구,252,1255,5.95
201104,강동구,204,697,0.49
