년월,구명,매매거래수,전월세거래수,갭투자비율(%)
202401,강남구,195,2440,1.54
202401,강동구,140,1512,7.14
202401,강북구,41,288,0.0
202401,강서구,140,1341,2.86
202401,관악구,74,605,1.35
202401,광진구,59,417,0.0
202401,구로구,137,913,0.73
202401,금천구,45,279,2.22
202401,노원구,193,1841,4.15
202401,도봉구,98,609,4.08
202401,동대문구,107,811,1.87
202401,동작구,147,918,2.72
202401,마포구,125,1126,2.4
202401,서대문구,96,748,0.0
202401,서초구,103,1344,1.94
202401,성동구,122,969,4.1
202401,성북구,138,872,0.72
202401,송파구,209,2185,7.18
202401,양천구,117,1021,2.56
202401,영등포구,117,1206,3.42
202401,용산구,47,557,2.13
202401,은평구,92,727,1.09
202401,종로구,20,232,5.0
202401,중구,42,392,0.0
202401,중랑구,82,679,1.22
202402,강남구,173,1971,4.05
202402,강동구,164,1232,1.83
202402,강북구,45,279,0.0
202402,강서구,133,1080,0.75
202402,관악구,84,529,1.19
202402,광진구,65,389,1.54
202402,구로구,118,868,1.69
202402,금천구,42,300,0.0
202402,노원구,220,1653,2.73
202402,도봉구,84,528,2.38
202402,동대문구,125,699,1.6
202402,동작구,109,711,3.67
202402,마포구,110,1012,0.91
202402,서대문구,86,816,5.81
202402,서초구,109,1214,0.92
202402,성동구,120,835,0.0
202402,성북구,159,768,1.26
202402,송파구,184,1813,6.52
202402,양천구,146,857,5.48
202402,영등포구,133,994,2.26
202402,용산구,62,500,0.0
202402,은평구,113,759,0.88
202402,종로구,22,171,4.55
202402,중구,41,367,4.88
202402,중랑구,68,873,4.41
202403,강남구,239,1978,1.67
202403,강동구,245,1593,4.49
202403,강북구,80,318,1.25
202403,강서구,255,1343,1.57
202403,관악구,128,592,3.91
202403,광진구,122,408,3.28
202403,구로구,216,917,0.93
202403,금천구,63,315,3.17
202403,노원구,304,1866,1.97
202403,도봉구,133,616,0.75
202403,동대문구,200,767,4.0
202403,동작구,194,1018,2.58
202403,마포구,219,1227,2.74
202403,서대문구,144,605,2.08
202403,서초구,226,1081,3.1
202403,성동구,234,945,3.42
202403,성북구,223,1135,2.69
202403,송파구,331,2140,2.72
202403,양천구,161,1006,0.0
202403,영등포구,201,1211,2.99
202403,용산구,90,552,4.44
202403,은평구,201,1021,2.49
202403,종로구,31,185,16.13
202403,중구,79,368,3.8
202403,중랑구,133,813,1.5
202404,강남구,289,1648,1.38
202404,강동구,241,1219,2.07
202404,강북구,66,257,1.52
202404,강서구,237,1103,2.53
202404,관악구,119,524,0.84
202404,광진구,80,323,2.5
202404,구로구,221,925,1.36
202404,금천구,69,279,1.45
202404,노원구,321,1590,4.67
202404,도봉구,145,508,2.07
202404,동대문구,196,579,3.06
202404,동작구,195,662,2.05
202404,마포구,255,828,3.14
202404,서대문구,186,532,0.54
202404,서초구,226,1014,0.88
202404,성동구,240,776,4.58
202404,성북구,271,621,0.37
202404,송파구,357,1462,5.32
202404,양천구,156,895,1.92
202404,영등포구,271,850,1.85
202404,용산구,79,708,5.06
202404,은평구,190,879,4.21
202404,종로구,34,135,0.0
202404,중구,66,306,1.52
202404,중랑구,138,553,0.72
202405,강남구,324,2519,4.94
202405,강동구,322,1377,1.55
202405,강북구,80,293,2.5
202405,강서구,261,1228,0.38
202405,관악구,135,532,3.7
202405,광진구,110,339,0.91
202405,구로구,232,895,1.29
202405,금천구,58,245,1.72
202405,노원구,355,1716,1.97
202405,도봉구,115,501,0.87
202405,동대문구,219,646,0.46
202405,동작구,203,701,1.48
202405,마포구,277,976,2.53
202405,서대문구,195,533,3.08
202405,서초구,324,1112,1.54
202405,성동구,299,753,4.01
202405,성북구,261,784,1.15
202405,송파구,434,1689,4.84
202405,양천구,224,1037,1.79
202405,영등포구,273,821,2.2
202405,용산구,104,626,0.96
202405,은평구,221,996,4.52
202405,종로구,62,165,1.61
202405,중구,69,323,7.25
202405,중랑구,147,547,0.68
202406,강남구,497,2054,3.62
202406,강동구,599,1621,4.01
202406,강북구,106,255,3.77
202406,강서구,367,1127,1.09
202406,관악구,209,517,3.83
202406,광진구,294,337,2.72
202406,구로구,255,829,0.78
202406,금천구,98,189,2.04
202406,노원구,456,1394,1.75
202406,도봉구,177,486,1.13
202406,동대문구,331,603,2.11
202406,동작구,348,664,2.59
202406,마포구,397,871,3.02
202406,서대문구,323,513,2.79
202406,서초구,495,1226,2.22
202406,성동구,495,773,5.05
202406,성북구,420,712,2.86
202406,송파구,607,1518,4.45
202406,양천구,277,867,2.89
202406,영등포구,368,1353,1.9
202406,용산구,161,575,2.48
202406,은평구,277,786,5.42
202406,종로구,64,150,0.0
202406,중구,108,267,2.78
202406,중랑구,210,626,1.43
