,법정동시군구코드,법정동읍면동코드,법정동지번코드,법정동본번코드,법정동부번코드,도로명,도로명시군구코드,도로명코드,도로명일련번호코드,도로명지상지하코드,도로명건물본번호코드,도로명건물부번호코드,법정동,단지명,지번,전용면적,계약년도,계약월,계약일,거래금액,층,건축년도,단지일련번호,해제여부,해제사유발생일,거래유형,중개사소재지,등기일자,아파트동명,매도자,매수자,토지임대부아파트여부
0,11650,10700,1,0001,0000,반포대로,11650,2121003,00,None,00333,00000,반포동,래미안원베일리,1,59.96,2024,1,3,280000,17,2023,11650-5126,None,None,중개거래,서울 서초구,24.08.23,106,기타,개인,N
1,11650,10700,1,0001,0000,반포대로,11650,2121003,00,None,00333,00000,반포동,래미안원베일리,1,59.96,2024,1,8,280000,17,2023,11650-5126,O,24.08.23,중개거래,서울 서초구,None,None,기타,개인,N
2,11650,10800,1,1333,0000,사임당로,11650,3121014,01,0,00137,00000,서초동,신동아아파트(1차),1333,101.6,2024,1,27,218000,7,1978,11650-53,None,None,중개거래,서울 서초구,24.04.15,3,개인,개인,N
3,11650,10600,1,0053,0015,잠원로,11650,3121019,01,0,00166,00017,잠원동,강변,53-15,66.29,2024,1,20,164000,2,1987,11650-97,None,None,중개거래,서울 서초구,24.05.03,4,개인,개인,N
4,11650,10700,1,0060,0004,서초중앙로29길,11650,4163713,01,0,00028,00000,반포동,반포미도,60-4,84.96,2024,1,28,234000,3,1987,11650-172,None,None,중개거래,서울 서초구,24.05.31,301,개인,개인,N
5,11650,10800,1,1685,0000,서초중앙로,11650,3121024,03,0,00200,00000,서초동,삼풍아파트,1685,79.47,2024,1,30,240000,13,1988,11650-28,None,None,중개거래,서울 서초구,24.05.20,5,개인,개인,N
6,11650,10100,1,3278,0000,명달로9길,11650,4163195,00,0,00057,00000,방배동,방배아트자이,3278,59.9775,2024,1,6,160000,4,2018,11650-4706,None,None,중개거래,서울 서초구,24.03.15,103동,개인,개인,N
7,11650,10800,1,1666,0014,사임당로17길,11650,4163313,01,0,00083,00000,서초동,서초녹원,1666-14,84.99,2024,1,26,115000,7,1997,11650-33,None,None,중개거래,서울 서초구,24.04.24,None,개인,개인,N
8,11650,10800,1,1675,0010,서초대로58길,11650,4163421,00,0,00018,00000,서초동,지에스타워,1675-10,26.05,2024,1,31,45000,9,2022,11650-4967,None,None,중개거래,"서울 관악구, 서울 서초구",24.03.18,주건축물제1동,개인,개인,N
9,11650,10800,1,1620,0020,사임당로10길,11650,4163309,01,0,00039,00000,서초동,서초동롯데캐슬리버티,1620-20,125.79,2024,1,29,189000,4,2005,11650-833,None,None,중개거래,서울 서초구,24.02.23,101,개인,개인,N
10,11650,10600,1,0054,0007,잠원로14길,11650,4163526,01,0,00054,00000,잠원동,신화,54-7,84.85,2024,1,27,163000,1,1997,11650-132,None,None,중개거래,서울 서초구,24.03.04,None,개인,개인,N
11,11650,10700,1,1343,0000,서초중앙로,11650,3121024,00,None,00206,00000,반포동,디에이치반포라클라스,1343,84.9671,2024,1,23,325000,28,2021,11650-4959,None,None,중개거래,서울 서초구,24.05.02,103,개인,개인,N
12,11650,10600,1,0157,0000,신반포로33길,11650,4163453,01,0,00015,00000,잠원동,동아,157,59.92,2024,1,14,189000,11,2002,11650-102,None,None,중개거래,서울 서초구,24.03.11,104,개인,개인,N
13,11650,10800,1,1755,0000,서운로,11650,3121016,00,None,00062,00000,서초동,래미안 리더스원,1755,84.94,2024,1,26,273000,19,2020,11650-4887,None,None,중개거래,서울 서초구,24.04.19,104동,개인,개인,N
14,11650,10300,1,0773,0000,양재대로2길,11650,4163748,01,0,00090,00000,우면동,서초힐스,773,59.97,2024,1,30,116900,12,2012,11650-3821,None,None,중개거래,서울 서초구,24.05.31,204,개인,개인,N
