통계표코드,통계명,통계항목코드1,통계항목명1,통계항목코드2,통계항목명2,통계항목코드3,통계항목명3,통계항목코드4,통계항목명4,단위,WGT,시점,값
200Y101,2.1.1.1. 주요지표(연간지표),10101,"국내총생산(명목, 원화표시)",,,,,,,십억원,,2024,2556857.4
200Y101,2.1.1.1. 주요지표(연간지표),1010101,"국내총생산(명목, 달러표시)",,,,,,,억달러,,2024,18745.6
200Y101,2.1.1.1. 주요지표(연간지표),10102,"국민총소득(명목, 원화표시)",,,,,,,십억원,,2024,2593762
200Y101,2.1.1.1. 주요지표(연간지표),1010201,"국민총소득(명목, 달러표시)",,,,,,,억달러,,2024,19016.1
200Y101,2.1.1.1. 주요지표(연간지표),10103,요소비용국민소득(명목),,,,,,,십억원,,2024,1810263.2
200Y101,2.1.1.1. 주요지표(연간지표),10104,국민처분가능소득(명목),,,,,,,십억원,,2024,2019596
200Y101,2.1.1.1. 주요지표(연간지표),10105,국민총처분가능소득(명목),,,,,,,십억원,,2024,2588759.3
200Y101,2.1.1.1. 주요지표(연간지표),101051,가계총처분가능소득(명목),,,,,,,십억원,,2024,1435656.3
200Y101,2.1.1.1. 주요지표(연간지표),10106,"1인당 국민총소득(명목, 원화표시)",,,,,,,만원,,2024,5012
200Y101,2.1.1.1. 주요지표(연간지표),1010601,"1인당 국민총소득(명목, 달러표시)",,,,,,,달러,,2024,36745.4
200Y101,2.1.1.1. 주요지표(연간지표),1010602,"1인당 가계총처분가능소득(명목, 원화표시)",,,,,,,만원,,2024,2774.2
200Y101,2.1.1.1. 주요지표(연간지표),1010603,"1인당 가계총처분가능소득(명목, 달러표시)",,,,,,,달러,,2024,20338.7
200Y101,2.1.1.1. 주요지표(연간지표),10107,"1인당 국내총생산(명목, 원화표시)",,,,,,,만원,,2024,4940.7
200Y101,2.1.1.1. 주요지표(연간지표),1010701,"1인당 국내총생산(명목, 달러표시)",,,,,,,달러,,2024,36222.6
200Y101,2.1.1.1. 주요지표(연간지표),20101,국내총생산(실질성장률),,,,,,,%,,2024,2
200Y101,2.1.1.1. 주요지표(연간지표),2010101,농림어업,,,,,,,%,,2024,0.6
200Y101,2.1.1.1. 주요지표(연간지표),2010102,광공업,,,,,,,%,,2024,4.3
200Y101,2.1.1.1. 주요지표(연간지표),2010103,(제조업),,,,,,,%,,2024,4.3
200Y101,2.1.1.1. 주요지표(연간지표),2010104,"전기, 가스 및 수도사업",,,,,,,%,,2024,3.3
200Y101,2.1.1.1. 주요지표(연간지표),2010105,건설업,,,,,,,%,,2024,-3.8
200Y101,2.1.1.1. 주요지표(연간지표),2010106,서비스업,,,,,,,%,,2024,1.6
200Y101,2.1.1.1. 주요지표(연간지표),2010107,순생산물세,,,,,,,%,,2024,1.3
200Y101,2.1.1.1. 주요지표(연간지표),20102,국내총소득,,,,,,,%,,2024,3.9
200Y101,2.1.1.1. 주요지표(연간지표),20103,국민총소득,,,,,,,%,,2024,3.9
200Y101,2.1.1.1. 주요지표(연간지표),30101,최종소비지출(실질증감률),,,,,,,%,,2024,1.4
200Y101,2.1.1.1. 주요지표(연간지표),3010101,민간,,,,,,,%,,2024,1.1
200Y101,2.1.1.1. 주요지표(연간지표),3010102,정부,,,,,,,%,,2024,2.1
200Y101,2.1.1.1. 주요지표(연간지표),30102,총고정자본형성,,,,,,,%,,2024,-0.8
200Y101,2.1.1.1. 주요지표(연간지표),3010201,건설투자,,,,,,,%,,2024,-3.3
200Y101,2.1.1.1. 주요지표(연간지표),3010202,(건물건설),,,,,,,%,,2024,-5
200Y101,2.1.1.1. 주요지표(연간지표),3010203,(토목건설),,,,,,,%,,2024,1.3
200Y101,2.1.1.1. 주요지표(연간지표),3010207,총고정자본형성(민간),,,,,,,%,,2024,-1
200Y101,2.1.1.1. 주요지표(연간지표),3010208,총고정자본형성(정부),,,,,,,%,,2024,0.8
200Y101,2.1.1.1. 주요지표(연간지표),30103,설비투자,,,,,,,%,,2024,1.7
200Y101,2.1.1.1. 주요지표(연간지표),3010301,(기계류),,,,,,,%,,2024,1.8
200Y101,2.1.1.1. 주요지표(연간지표),3010302,(운송장비),,,,,,,%,,2024,1.4
200Y101,2.1.1.1. 주요지표(연간지표),30104,지식재산생산물투자,,,,,,,%,,2024,1.2
200Y101,2.1.1.1. 주요지표(연간지표),30105,재화와 서비스의 수출,,,,,,,%,,2024,6.8
200Y101,2.1.1.1. 주요지표(연간지표),3010501,(재화),,,,,,,%,,2024,6.4
200Y101,2.1.1.1. 주요지표(연간지표),30106,재화와 서비스의 수입,,,,,,,%,,2024,2.5
200Y101,2.1.1.1. 주요지표(연간지표),3010601,(재화),,,,,,,%,,2024,1.3
200Y101,2.1.1.1. 주요지표(연간지표),40101,농림어업(생산구조-명목),,,,,,,%,,2024,1.6
200Y101,2.1.1.1. 주요지표(연간지표),40102,광공업,,,,,,,%,,2024,28.8
200Y101,2.1.1.1. 주요지표(연간지표),4010201,(제조업),,,,,,,%,,2024,28.7
200Y101,2.1.1.1. 주요지표(연간지표),40103,"전기, 가스 및 수도사업",,,,,,,%,,2024,2.6
200Y101,2.1.1.1. 주요지표(연간지표),40104,건설업,,,,,,,%,,2024,5.2
200Y101,2.1.1.1. 주요지표(연간지표),40105,서비스업,,,,,,,%,,2024,61.9
200Y101,2.1.1.1. 주요지표(연간지표),60101,최종소비지출(지출구조-명목),,,,,,,%,,2024,66
200Y101,2.1.1.1. 주요지표(연간지표),6010101,민간,,,,,,,%,,2024,48.5
200Y101,2.1.1.1. 주요지표(연간지표),6010102,정부,,,,,,,%,,2024,17.5
200Y101,2.1.1.1. 주요지표(연간지표),60102,총고정자본형성,,,,,,,%,,2024,30
200Y101,2.1.1.1. 주요지표(연간지표),60103,재화와 서비스의 수출,,,,,,,%,,2024,44.4
200Y101,2.1.1.1. 주요지표(연간지표),60104,(공제)재화와 서비스의 수입,,,,,,,%,,2024,40.3
200Y101,2.1.1.1. 주요지표(연간지표),7010101,피용자보수,,,,,,,%,,2024,47.5
200Y101,2.1.1.1. 주요지표(연간지표),7010102,기업 및 재산소득,,,,,,,%,,2024,22.5
200Y101,2.1.1.1. 주요지표(연간지표),7010103,고정자본소모,,,,,,,%,,2024,22
200Y101,2.1.1.1. 주요지표(연간지표),7010104,생산 및 수입세 (공제)보조금,,,,,,,%,,2024,8.3
200Y101,2.1.1.1. 주요지표(연간지표),7010105,국외순수취경상이전,,,,,,,%,,2024,-0.2
200Y101,2.1.1.1. 주요지표(연간지표),7010106,가계,,,,,,,%,,2024,55.5
200Y101,2.1.1.1. 주요지표(연간지표),7010107,기업,,,,,,,%,,2024,23.7
200Y101,2.1.1.1. 주요지표(연간지표),7010108,정부,,,,,,,%,,2024,20.8
200Y101,2.1.1.1. 주요지표(연간지표),7010200,피용자보수비율,,,,,,,%,,2024,67.9
200Y101,2.1.1.1. 주요지표(연간지표),701040101,피용자보수,,,,,,,%,,2024,47.4
